trade_date,market_group,security_code,security_name,change_rate,trade_market_code,security_type_code,detail_link,quote_link
2026-02-13,SZ,000004,*ST国华,5.0251,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000004.html",https://quote.eastmoney.com/unify/r/0.000004
2026-02-13,SZ,000021,深科技,10.017,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000021.html",https://quote.eastmoney.com/unify/r/0.000021
2026-02-13,SZ,000070,特发信息,-10,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000070.html",https://quote.eastmoney.com/unify/r/0.000070
2026-02-13,SZ,000711,ST京蓝,5.0167,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000711.html",https://quote.eastmoney.com/unify/r/0.000711
2026-02-13,SZ,000833,粤桂股份,6.8566,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000833.html",https://quote.eastmoney.com/unify/r/0.000833
2026-02-13,SZ,000859,国风新材,10.0184,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000859.html",https://quote.eastmoney.com/unify/r/0.000859
2026-02-13,SZ,000892,欢瑞世纪,-9.9441,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,000892.html",https://quote.eastmoney.com/unify/r/0.000892
2026-02-13,SZ,001330,博纳影业,5.8872,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,001330.html",https://quote.eastmoney.com/unify/r/0.001330
2026-02-13,SZ,002009,天奇股份,10,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002009.html",https://quote.eastmoney.com/unify/r/0.002009
2026-02-13,SZ,002323,雅博股份,-9.9237,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002323.html",https://quote.eastmoney.com/unify/r/0.002323
2026-02-13,SZ,002342,巨力索具,-9.9708,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002342.html",https://quote.eastmoney.com/unify/r/0.002342
2026-02-13,SZ,002455,百川股份,-1.773,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002455.html",https://quote.eastmoney.com/unify/r/0.002455
2026-02-13,SZ,002467,二六三,5.3147,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002467.html",https://quote.eastmoney.com/unify/r/0.002467
2026-02-13,SZ,002491,通鼎互联,-10.0097,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002491.html",https://quote.eastmoney.com/unify/r/0.002491
2026-02-13,SZ,002498,汉缆股份,10.0813,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002498.html",https://quote.eastmoney.com/unify/r/0.002498
2026-02-13,SZ,002519,银河电子,4.2965,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002519.html",https://quote.eastmoney.com/unify/r/0.002519
2026-02-13,SZ,002703,浙江世宝,10.024,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002703.html",https://quote.eastmoney.com/unify/r/0.002703
2026-02-13,SZ,002713,*ST东易,4.9713,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002713.html",https://quote.eastmoney.com/unify/r/0.002713
2026-02-13,SZ,002957,科瑞技术,-10,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002957.html",https://quote.eastmoney.com/unify/r/0.002957
2026-02-13,SZ,002969,嘉美包装,-10.003,069001002001,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,002969.html",https://quote.eastmoney.com/unify/r/0.002969
2026-02-13,SZ,300182,捷成股份,-10.6145,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300182.html",https://quote.eastmoney.com/unify/r/0.300182
2026-02-13,SZ,300251,光线传媒,15.3879,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300251.html",https://quote.eastmoney.com/unify/r/0.300251
2026-02-13,SZ,300344,*ST立方,-20.0855,069001002005,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300344.html",https://quote.eastmoney.com/unify/r/0.300344
2026-02-13,SZ,300449,汉邦高科,20,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300449.html",https://quote.eastmoney.com/unify/r/0.300449
2026-02-13,SZ,300589,江龙船艇,8.1704,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300589.html",https://quote.eastmoney.com/unify/r/0.300589
2026-02-13,SZ,300719,安达维尔,19.9885,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300719.html",https://quote.eastmoney.com/unify/r/0.300719
2026-02-13,SZ,300812,易天股份,20,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300812.html",https://quote.eastmoney.com/unify/r/0.300812
2026-02-13,SZ,300846,首都在线,3.673,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,300846.html",https://quote.eastmoney.com/unify/r/0.300846
2026-02-13,SZ,301231,荣信文化,-7.8605,069001002002,058001001,"https://data.eastmoney.com/stock/lhb,2026-02-13,301231.html",https://quote.eastmoney.com/unify/r/0.301231
