SECURITY_CODE,SECUCODE,SECURITY_NAME_ABBR,TRADE_DATE,CHANGE_RATE,TRADE_MARKET_CODE,SECURITY_TYPE_CODE,EXPLAIN
000004,000004.SZ,*ST国华,2026-02-12 00:00:00,-5.0119,069001002005,058001001,卖一主卖，成功率25.09%
000070,000070.SZ,特发信息,2026-02-12 00:00:00,9.9831,069001002001,058001001,3家机构买入，成功率32.35%
000609,000609.SZ,ST中迪,2026-02-12 00:00:00,5.042,069001002005,058001001,普通席位买入，成功率30.09%
000669,000669.SZ,ST金鸿,2026-02-12 00:00:00,5.0147,069001002005,058001001,买一主买，成功率53.82%
000892,000892.SZ,欢瑞世纪,2026-02-12 00:00:00,-9.3212,069001002001,058001001,主力做T，成功率42.31%
000962,000962.SZ,东方钽业,2026-02-12 00:00:00,9.991,069001002001,058001001,3家机构买入，成功率35.13%
001270,001270.SZ,*ST铖昌,2026-02-12 00:00:00,-5.0027,069001002005,058001001,2家机构卖出，成功率54.05%
001896,001896.SZ,豫能控股,2026-02-12 00:00:00,9.9469,069001002001,058001001,买一主买，成功率55.40%
002080,002080.SZ,中材科技,2026-02-12 00:00:00,9.9912,069001002001,058001001,4家机构买入，成功率29.58%
002080,002080.SZ,中材科技,2026-02-12 00:00:00,9.9912,069001002001,058001001,2家机构买入，成功率37.41%
002112,002112.SZ,三变科技,2026-02-12 00:00:00,3.4884,069001002001,058001001,4家机构买入，成功率11.10%
002131,002131.SZ,利欧股份,2026-02-12 00:00:00,10.0606,069001002001,058001001,买一主买，成功率45.88%
002323,002323.SZ,雅博股份,2026-02-12 00:00:00,10.084,069001002001,058001001,1家机构买入，成功率38.81%
002323,002323.SZ,雅博股份,2026-02-12 00:00:00,10.084,069001002001,058001001,2家机构买入，成功率49.91%
002342,002342.SZ,巨力索具,2026-02-12 00:00:00,-10.021,069001002001,058001001,西藏自治区资金卖出，成功率39.25%
002378,002378.SZ,章源钨业,2026-02-12 00:00:00,9.9855,069001002001,058001001,4家机构买入，成功率35.13%
002455,002455.SZ,百川股份,2026-02-12 00:00:00,-4.9225,069001002001,058001001,1家机构卖出，成功率43.45%
002702,002702.SZ,海欣食品,2026-02-12 00:00:00,-9.9567,069001002001,058001001,4家机构卖出，成功率7.86%
002723,002723.SZ,小崧股份,2026-02-12 00:00:00,-9.9828,069001002001,058001001,主力做T，成功率44.88%
002731,002731.SZ,ST萃华,2026-02-12 00:00:00,-4.9853,069001002005,058001001,普通席位卖出，成功率47.62%
002757,002757.SZ,南兴股份,2026-02-12 00:00:00,4.69,069001002001,058001001,1家机构买入，成功率31.97%
002830,002830.SZ,名雕股份,2026-02-12 00:00:00,-9.9928,069001002001,058001001,上海资金卖出，成功率33.83%
002837,002837.SZ,英维克,2026-02-12 00:00:00,10,069001002001,058001001,3家机构买入，成功率46.39%
002842,002842.SZ,翔鹭钨业,2026-02-12 00:00:00,9.9971,069001002001,058001001,4家机构买入，成功率24.97%
002842,002842.SZ,翔鹭钨业,2026-02-12 00:00:00,9.9971,069001002001,058001001,3家机构买入，成功率41.78%
002842,002842.SZ,翔鹭钨业,2026-02-12 00:00:00,9.9971,069001002001,058001001,4家机构买入，成功率24.97%
002905,002905.SZ,金逸影视,2026-02-12 00:00:00,-9.9705,069001002001,058001001,西藏自治区资金卖出，成功率7.13%
002931,002931.SZ,锋龙股份,2026-02-12 00:00:00,-10,069001002001,058001001,主力做T，成功率27.77%
002951,002951.SZ,金时科技,2026-02-12 00:00:00,10,069001002001,058001001,2家机构买入，成功率42.17%
002969,002969.SZ,嘉美包装,2026-02-12 00:00:00,6.6773,069001002001,058001001,西藏自治区资金买入，成功率30.59%
300182,300182.SZ,捷成股份,2026-02-12 00:00:00,1.1299,069001002002,058001001,西藏自治区资金买入，成功率30.83%
300258,300258.SZ,精锻科技,2026-02-12 00:00:00,17.5912,069001002002,058001001,1家机构买入，成功率26.84%
300277,300277.SZ,海联讯,2026-02-12 00:00:00,19.9772,069001002002,058001001,3家机构买入，成功率39.80%
300344,300344.SZ,*ST立方,2026-02-12 00:00:00,-19.863,069001002005,058001001,西藏自治区资金卖出，成功率22.13%
300344,300344.SZ,*ST立方,2026-02-12 00:00:00,-19.863,069001002005,058001001,西藏自治区资金卖出，成功率22.13%
300364,300364.SZ,中文在线,2026-02-12 00:00:00,-6.608,069001002002,058001001,3家机构卖出，成功率19.42%
300804,300804.SZ,广康生化,2026-02-12 00:00:00,4.2263,069001002002,058001001,2家机构买入，成功率49.42%
300846,300846.SZ,首都在线,2026-02-12 00:00:00,20.0142,069001002002,058001001,主力做T，成功率43.60%
301018,301018.SZ,申菱环境,2026-02-12 00:00:00,17.428,069001002002,058001001,3家机构买入，成功率38.29%
301231,301231.SZ,荣信文化,2026-02-12 00:00:00,-14.1888,069001002002,058001001,4家机构卖出，成功率12.08%
301317,301317.SZ,鑫磊股份,2026-02-12 00:00:00,19.9901,069001002002,058001001,1家机构买入，成功率46.61%
301396,301396.SZ,宏景科技,2026-02-12 00:00:00,9.6877,069001002002,058001001,4家机构买入，成功率35.13%
301526,301526.SZ,国际复材,2026-02-12 00:00:00,8.2203,069001002002,058001001,2家机构买入，成功率40.61%
